132344,Before Midnight
119675,Behind the Candelabra
205022,Chennai Express
138843,The Conjuring
93456,Despicable Me 2
68724,Elysium
116711,Epic
64682,The Great Gatsby
75950,The Heat's On
116741,The Internship
132344,Before Midnight
119675,Behind the Candelabra
205022,Chennai Express
138843,The Conjuring
93456,Despicable Me 2
68724,Elysium
116711,Epic
64682,The Great Gatsby
75950,The Heat's On
116741,The Internship
57201,The Lone Ranger
49521,Man of Steel
62211,Monsters University
75656,Now You See Me
208540,Once Upon A Time In Mumbai Dobaara!
77987,Only God Forgives
68726,Pacific Rim
134374,Pain & Gain
121677,The Reluctant Fundamentalist
109414,This Is the End
147773,The Way Way Back
138832,We're the Millers
121133,X-Men: The Legend of Wolverine
72190,World War Z
107985,The World's End
59859,Kick-Ass 2
59859,Kick-Ass 2
123553,The Mortal Instruments: City of Bones
127373,What Maisie Knew
152742,La migliore offerta
115782,jOBS
146216,RED 2
86825,Stoker
83899,You're Next
160588,Blue Jasmine
115348,Paranoia
117251,White House Down
49524,R.I.P.D.
87421,Riddick
95755,Small Apartments
77931,The Smurfs 2
76285,Percy Jackson: Sea of Monsters
151960,Planes
77950,Turbo
109418,Grown Ups 2
146238,Runner Runner
49047,Gravity
106747,Machete Kills
96721,Rush
136400,2 Guns
118289,Diana
112205,The Family
122906,About Time
109424,Captain Phillips
76338,Thor: The Dark World
8895,Adoration
107846,Escape Plan
208134,Jackass Presents: Bad Grandpa
7340,Carrie
85889,Filth
101299,The Hunger Games: Catching Fire
109451,Cloudy with a Chance of Meatballs 2
80274,Ender's Game
109417,Battle of the Year: The Dream Team
109443,Anchorman: The Legend Continues
57158,The Hobbit: The Desolation of Smaug
100402,Captain America: The Winter Soldier
172385,Rio 2
